,卡名,年費,國內消費現金回饋,國內消費現金回饋備註,國外消費現金回饋,國外消費現金回饋備註,分期零利率,分期零利率回饋備註,最低可分期金額,最低可分期金額備註,加油現金回饋,加油現金回饋備註,加油優惠,加油優惠備註,國內哩程累積,國內哩程累積備註,國外哩程累積,國外哩程累積備註,首刷里程回饋,首刷里程回饋備註,首刷(類)現金回饋,國首刷(類)現金回饋備註,週末電影折扣,週末電影折扣備註,平日電影折扣,平日電影折扣備註,,數位通路回饋上限,數位通路回饋上限備註,網購回饋,網購回饋備註
118,國泰世華 蝦皮購物聯名卡,首年免年費,0.50%, ,不適用,蝦皮購物站外消費最高蝦幣回饋,,,,,,,,,,,,,,,,,,,,,,,,,
119,土地銀行 國際信用卡,"NT$1,200 ",0.40%,於國內消費,0.40%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
120,玉山銀行 家樂福悠遊聯名卡,首年免年費,0.33%,於家樂福消費累積紅利兌換現金點數,0.67%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
121,玉山銀行 家樂福icash聯名卡,首年免年費,0.33%,於家樂福消費累積紅利兌換現金點數,0.67%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
122,新光銀行 魔法少女一卡通鈦金卡,首年免年費,0.30%,於指定通路消費,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
123,新光銀行 悠遊聯名卡,"NT$2,000 ",0.30%,於指定通路消費,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
124,台新銀行 太陽卡,NT$300 ,0.30%,台新自由選方案指定類別消費享0.6%~1.2%現金回饋,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
125,台新銀行 玫瑰卡,NT$300 ,0.30%,台新自由選方案指定類別消費享0.6%~1.2%現金回饋,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
126,台新銀行 ETC聯名卡,"NT$1,500 ",0.30%,台新自由選方案指定類別消費享0.6%~1.2%現金回饋,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
127,第一銀行 i-Fun愛玩樂卡,"NT$1,200 ",0.30%,於指定通路消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
128,聯邦銀行 順發聯名卡,首年免年費,0.30%,於店內消費最高可享0.8%現金回饋,0.80%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
129,國泰世華 KOKO COMBO icash聯名卡,首年免年費,0.30%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
130,彰化銀行 JCB悠遊晶緻卡,"NT$1,200 ",0.30%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
131,彰化銀行 VISA一卡通御璽卡,"NT$1,200 ",0.30%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
132,國泰世華 KOKO icash聯名卡,"NT$1,800 ",0.30%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
133,渣打銀行 昇利卡(現金回饋),首年免年費,0.25%,於國內消費,0.25%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
134,日盛銀行 ALL PASS卡,"NT$1,500 ",0.22%,於國內消費,0.22%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
135,台新銀行 賓士smart聯名卡,NT$0 ,0.20%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
136,玉山銀行 eTag悠遊聯名卡,首年免年費,0.20%,於國內消費,0.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
137,台新銀行 全家Fish悠遊聯名卡,NT$300 ,0.20%,於國內消費,0.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
138,兆豐銀行 中興保全聯名卡,NT$600 ,0.20%,於國內消費,0.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
139,華南銀行 LOVE晶緻悠遊聯名卡－酷愛黑卡,"NT$1,200 ",0.20%,於國內消費達門檻，享0.2%~2%回饋,0.20%,於國外消費達門檻，享0.2%~2%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
140,華南銀行 櫃買贏家生活卡,"NT$1,200 ",0.20%,於國內消費達門檻，享0.2%~5%回饋,0.20%,於國外消費達門檻，享0.2%~5%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
141,永豐銀行 VOGUE聯名卡,NT$300 ,0.10%,於國內消費達門檻,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
142,玉山銀行 iCash聯名卡,首年免年費,0%,於指定網路通路購物,5%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
143,玉山銀行 商務御璽卡,首年免年費,0%,於高鐵、旅行社、免稅店消費,5%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
144,華南銀行 i網購生活卡,"NT$1,200 ",0%,於網路通路消費,2.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
145,元大銀行 愛PASS鈦金卡,"NT$3,000 ",0%,於指定通路消費,2%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
146,聯邦銀行 微風聯名卡,首年免年費,0%,微風指定館別滿額消費最優享1.5%,1.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
147,元大銀行 分享卡,"NT$3,000 ",0%,繳指定保費,1.18%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
148,國泰世華 台塑聯名卡,首年免年費,0%,於指定台塑通路消費享加油金回饋,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
149,台新銀行 新光三越聯名卡,NT$0 ,0%,於新光三越消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
